date,location,text
2022-01-29 19:03:33,"b'Madrid, Espa\xc3\xb1a'","b'@carribas88 Carlos, entendemos que si tiene la vacuna Janssen se considera con pauta completa, por lo que no ser\xc3\xada necesario presentar prueba COVID; de igual manera, te sugerimos confirmar directamente con las autoridades correspondientes para evitar problemas durante tu vuelo. Saludos'"
2022-01-29 19:01:56,b'Espa\xc3\xb1a',"b'@A3Noticias Iros a la mierda. Estoy vacunado con doble pauta y ahora he pasado el covid con Omicron. No me vacuno m\xc3\xa1s xq no me sale de los cojones, no soy un mu\xc3\xb1eco vud\xc3\xba.\n\nYa est\xc3\xa1 bien con el negocio de las vacunas...'"
2022-01-29 19:01:18,b'Spain',b'@navedelmisterio los c\xc3\xa1lculos en la ves\xc3\xadcula es un efecto secundario de la vacuna ? 4 personas de un entorno cercano todas mujeres les ha pasado. Coincidencia ? Sabes algo?'
2022-01-29 19:00:16,b'Navarra (Espa\xc3\xb1a)',"b'Este es el aspecto de la desigualdad frente a las vacunas.\n\nMientras muchos pa\xc3\xadses promueven una 3\xc2\xaa dosis de la vacuna contra la COVID-19, otros no han tenido el privilegio de poder ofrecer a sus habitantes la primera.\n\nNadie est\xc3\xa1 a salvo hasta que todos lo estemos. https://t.co/7ptJeHyBoC'"
2022-01-29 18:59:56,b'Espa\xc3\xb1a',"b'@Palrom1 Qu\xc3\xa9 man\xc3\xada de mezclar pol\xc3\xadtica. \xc2\xbfA qui\xc3\xa9n le interesa?\nA ver, a largo plazo, los da\xc3\xb1os realizados por el SARS-CoV-2 cada d\xc3\xada (sea COVID larga o reinfecci\xc3\xb3n) son hechos contrastados.\nPero los efectos long term de las vacunas COVID19 (\xc2\xbfTODAS? Qu\xc3\xa9 casualidad...), son cosas no probadas'"
2022-01-29 18:59:36,b'Las Am\xc3\xa9ricas | Espa\xc3\xb1a',b'Fighting Stigma : Comienza ensayo de la vacuna contra el VIH \xe2\x80\x94 Diario del Huila: La misma tecnolog\xc3\xada que se implementa en la actualidad con las vacunas contra el Covid-19 ser\xc3\xa1 implementada para la vacuna contra el VIH\xc2\xa0... https://t.co/zzHqVgMuta'
2022-01-29 18:59:35,b'Las Am\xc3\xa9ricas | Espa\xc3\xb1a',b'Fighting Stigma : Entra a fase de ensayo la vacuna contra el VIH; participan 56 voluntarios de 18 hasta 50 a\xc3\xb1os: La OMS contabiliz\xc3\xb3 en 2020 m\xc3\xa1s de 37 millones de personas que viv\xc3\xadan con VIH en el mundo y 680 mil decesos por esa causa. https://t.co/2QG5lgwKFL'
2022-01-29 18:58:12,"b'C\xc3\xb3rdoba, Spain [Europe]'","b'No podemos hacer otra cosa, ahora y siempre, que agradecer su trabajo a los investigadores, fabricantes, compradores, distribuidores y administradores de vacunas.  Especialmente esta semana los tenemos presentes en casa. \n\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/qnVybFhG2n'"
2022-01-29 18:55:09,b'Mentalmente en Sevilla Spain',"b'""Vacunas ARNm y el coraz\xc3\xb3n del deportista de \xc3\xa9lite""\n#Japalpilpa\nhttps://t.co/njeRWCyMnD'"
2022-01-29 18:55:05,"b'Madrid, Espa\xc3\xb1a'","b'@luischumaceiro Yo te vacuno y tu me vacunas, oui?'"
2022-01-29 18:53:10,b'Barcelona (Espa\xc3\xb1a).',"b'@PComentator @a_linzoain @Jaime_Culebras @LeilaYLab @Jaque100cia @SUgayos @AdryRo87 @EsteveBoix @fenris1234 @albertodtra @ezikusia @rochipacitos @nati_alva @infobae NEGACIONISTA: Poner en riesgo vuestro negocio. Comprendo. Lo que no hace, es publicar basura tragacionista y es coherente, porque un presentador sin bozal, no es un riesgo, pero entra sin el a un supermercado...\xc2\xbfVACUNA? https://t.co/u0Oy1DcW5N'"
2022-01-29 18:53:04,"b'Comunidad de Madrid, Espa\xc3\xb1a'","b'La mielitis transversa, nuevo efecto secundario de las vacunas de Janssen y AstraZeneca - https://t.co/frfn6KmDv2 https://t.co/p8vXYnb1qZ'"
2022-01-29 18:52:08,"b'Vigo, Espa\xc3\xb1a'",b'Sud\xc3\xa1frica el ejemplo que demuestra que las vacunas no son la causa de la ca\xc3\xadda del virus. Con 27% vacunado y ya sin restricciones sus datos son mejores que los pa\xc3\xadses m\xc3\xa1s vacunados Europeos LOS DATOS NO MIENTEN https://t.co/pP5fdnxRCY'
2022-01-29 18:51:13,"b'Comunidad Valenciana, Espa\xc3\xb1a'","b'@A3Noticias Mentira, terroristas de informaci\xc3\xb3n, las vacunas matan que ninguna vacuna en la historia, y todos los terroristas de informaci\xc3\xb3n est\xc3\xa1is a su sueldo, lo pagareis'"
2022-01-29 18:48:06,b'Espa\xc3\xb1a',"b'@PabloIglesias + nazi q t\xc3\xba no hay, defensor a ultranza d la ""vacuna"" obligatoria y del pasaporte covid, legitimaste 2 estados d alarma ilegales y dejaste morir a los ancianos en residencias. Solo has sido disidencia controlada para sacar a la gente de las callesTe falta una giratoria en Pfizer'"
2022-01-29 18:47:49,"b'Melilla, Espa\xc3\xb1a'","b'Hay muchas cosas que nos pueden alterar el ciclo, y el simple estr\xc3\xa9s puede afectar much\xc3\xadsimo. \xc2\xbfAfecta la vacuna? S\xc3\xad, vacunarse afecta (y tambi\xc3\xa9n afectan otras vacunas).\n\nhttps://t.co/nr0VkUU4Bu'"
2022-01-29 18:47:44,"b'Espa\xc3\xb1a...entera, EU, USA'",b'El test espa\xc3\xb1ol que permite medir la inmunidad celular y ahorrar\xc3\xada miles de vacunas - Libertad Digital https://t.co/h1C7Wpc6q2'
2022-01-29 18:47:09,"b'Palma, Espa\xc3\xb1a'",b'se\xc3\xb1or padre c\xc3\xb3mo te explico que la vacuna no me va a matar y que si lo hace pues eso que me llevo xd'
2022-01-29 18:47:05,b'Madrid ( Spain )',b'Muy relevante y trasparente sobre datos adversos de las vacunas COVID dentro del ej\xc3\xa9rcito americano. Interesante lectura para su detecci\xc3\xb3n y prevenci\xc3\xb3n. #COVID #vacunacion @elmundosalud @diariolaopinion @laverdad_es @okdiario #prevencion https://t.co/75hl1ITqdD'
2022-01-29 18:45:34,b'Espa\xc3\xb1a',"b'Completamente idiotizados\n\nY la reina, la vacuna https://t.co/8WgtRAWm0K'"
2022-01-29 18:45:27,"b'C\xc3\xb3rdoba, Espa\xc3\xb1a'","b'@CarlWinslou El Dinero no da la felicidad, trabajar es una bendici\xc3\xb3n, el virus sali\xc3\xb3 de la naturaleza, las vacunas son muy efectivas ,a los camareros les encantan los ni\xc3\xb1os , a las farmac\xc3\xa9uticas les interesa que estemos sanos ,el iPhone es el mejor m\xc3\xb3vil ,no se vende coches porque no hay Chi'"
2022-01-29 18:43:38,"b'M\xc3\xa1laga, Espa\xc3\xb1a'","b'Pues esta es la prueba de que la vacuna evita el colapso sanitario, pero tambi\xc3\xa9n de que no hay mucha diferencia entre la presi\xc3\xb3n hospitalaria que tenemos, y la que tendr\xc3\xadamos si la vacunaci\xc3\xb3n fuera obligatoria. https://t.co/ZQHXaEe3Gv'"
2022-01-29 18:43:34,"b'Almer\xc3\xada, Espa\xc3\xb1a'",b'24h de la vacuna y estoy perfectamente \xf0\x9f\xa4\xaa'
2022-01-29 18:43:10,"b'Regi\xc3\xb3n de Murcia, Espa\xc3\xb1a'","b'@ivaan_rmcf Por nada, porqu\xc3\xa9 est\xc3\xa1 guapo ponerse las vacunas en un campo de f\xc3\xbatbol, yo me las puse en Nueva Condomina, estadio del Real Murcia.'"
2022-01-29 18:41:45,"b'M\xc3\xa1laga, Espa\xc3\xb1a'","b'@MeElPuerto @JM_Kichi La vacuna no impide la entrada al virus, lo que hace es minimizar el impacto'"
2022-01-29 18:40:28,"b'Coslada, Espa\xc3\xb1a'","b'@Guackboy Se siente hasta por Burgos, vamos vacuna.'"
2022-01-29 18:40:09,"b'Valencia, Espa\xc3\xb1a'","b'@aliciacgviolin @JoseMJG Claro, t\xc3\xba sabes la verdad sobre las vacunas. Pues ser\xc3\xa1s la \xc3\xbanica. \nMira lo que se est\xc3\xa1 preparando. \nhttps://t.co/q2A770ggSH'"
2022-01-29 18:32:31,"b'Zaragoza, Espanya'",b'@carlxsm_ Te hago un resumen:\n- Vacunas \xe2\x9c\x85\n- Comer sano \xe2\x9c\x85\n- Hacer ejercicio \xe2\x9c\x85\n- Fumar \xe2\x9d\x8c\n- El wifi no da c\xc3\xa1ncer\n- Tomar agua potable \xe2\x9c\x85'
2022-01-29 18:32:30,"b'Catalu\xc3\xb1a, Espa\xc3\xb1a'",b'@Eres_john_Doe Con tiempo y esperando que las vacunas hagan aquello para lo que de verdad se han dise\xc3\xb1ado'
2022-01-29 18:30:27,"b'M\xc3\xa1laga, Espa\xc3\xb1a'",b'- haber humillado a un stremer famoso\n- Canal de YouTube con muchos suscriptores. \n- darme todo el loot porque est\xc3\xa1 consciente de que soy mejor \nCopia de lo siguiente:\n-num del seguro social\n-carta de no antecedentes penales\n-RFC \n- CURP. \n- DNI. \n- VACUNAS AL DIA.'
2022-01-29 18:30:00,"b'Madrid, Espa\xc3\xb1a'",b'La variante \xc3\xb3micron mostr\xc3\xb3 una mayor capacidad para evadir los anticuerpos de los individuos vacunados y de los pacientes con COVID-19 no vacunados.\nhttps://t.co/PTG2Ds13a7'
2022-01-29 18:28:27,"b'Cantabria, Espa\xc3\xb1a'",b'oye la vacuna m esta dejando muerta basta xfavor'
2022-01-29 18:28:04,"b'Comunidad de Madrid, Espa\xc3\xb1a'","b'Abr\xc3\xa1moslo.\nYa que los NO vacunados tambi\xc3\xa9n han pagado las vacunas, ahora que los vacunados tambi\xc3\xa9n paguen las PCR que los no vacunados se hagan. https://t.co/32N5AlYBsh'"
2022-01-29 18:28:00,"b'Madrid, Espa\xc3\xb1a'","b'La vacuna que el franquismo no quiso distribuir: ""No nos la dieron y estamos con par\xc3\xa1lisis de por vida"" https://t.co/Ew0HVftHzC v\xc3\xada @La_SER'"
2022-01-29 18:27:55,"b'Toledo, Espa\xc3\xb1a'",b'#Portada El 60% de menores de 12 a\xc3\xb1os de #CastillaLaMancha ya tienen inoculada la primera dosis de la vacuna @garciapage @jfdezsanz @Guijarrojl @Blanca_CLM @jaregatero @RafaPerezagua @Sergio_GP @fmora20158 @Diana_lopezgo @soyJosePrensa @crismaestre https://t.co/fOkdAXuemq @24clm'
2022-01-29 18:27:10,"b'Regi\xc3\xb3n de Murcia, Espa\xc3\xb1a'","b'@ivaan_rmcf Por curiosidad, \xc2\xbfalguna de las 3 vacunas ha sido puesta en un recinto deportivo?'"
